risk_factor,associated_condition,weight,is_modifiable,risk_type,recommended_action
Previous Infection,Liver Disease,High,No,Medical,Immediate Attention
Previous Infection,Liver Disease,Critical,Yes,Lifestyle,Preventive
Previous Infection,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
Previous Infection,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
Previous Infection,Respiratory Disorder,High,No,Medical,Immediate Attention
Previous Infection,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
Previous Infection,Cancer,Low,No,Genetic,Moderate Monitoring
Previous Infection,Cancer,Medium,Yes,Environmental,High Monitoring
Previous Infection,Cancer,High,No,Medical,Immediate Attention
Previous Infection,Cancer,Critical,Yes,Lifestyle,Preventive
Previous Infection,Obesity,Low,No,Genetic,Moderate Monitoring
Previous Infection,Obesity,Medium,Yes,Environmental,High Monitoring
Previous Infection,Obesity,High,No,Medical,Immediate Attention
Previous Infection,Obesity,Critical,Yes,Lifestyle,Preventive
Previous Infection,Depression,Low,No,Genetic,Moderate Monitoring
Previous Infection,Depression,Medium,Yes,Environmental,High Monitoring
Previous Infection,Depression,High,No,Medical,Immediate Attention
Previous Infection,Depression,Critical,Yes,Lifestyle,Preventive
Previous Infection,Anxiety,Low,No,Genetic,Moderate Monitoring
Previous Infection,Anxiety,Medium,Yes,Environmental,High Monitoring
Previous Infection,Anxiety,High,No,Medical,Immediate Attention
Previous Infection,Anxiety,Critical,Yes,Lifestyle,Preventive
Previous Infection,Infection Risk,Low,No,Genetic,Moderate Monitoring
Previous Infection,Infection Risk,Medium,Yes,Environmental,High Monitoring
Previous Infection,Infection Risk,High,No,Medical,Immediate Attention
Previous Infection,Infection Risk,Critical,Yes,Lifestyle,Preventive
Previous Infection,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
Previous Infection,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
Previous Infection,Metabolic Disorder,High,No,Medical,Immediate Attention
Previous Infection,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
Previous Infection,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
Previous Infection,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
Previous Infection,Autoimmune Disease,High,No,Medical,Immediate Attention
Previous Infection,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
Previous Infection,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
Previous Infection,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Previous Infection,Hormonal Disorder,High,No,Medical,Immediate Attention
Previous Infection,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
Medication History,Heart Disease,Low,No,Genetic,Moderate Monitoring
Medication History,Heart Disease,Medium,Yes,Environmental,High Monitoring
Medication History,Heart Disease,High,No,Medical,Immediate Attention
Medication History,Heart Disease,Critical,Yes,Lifestyle,Preventive
Medication History,Diabetes,Low,No,Genetic,Moderate Monitoring
Medication History,Diabetes,Medium,Yes,Environmental,High Monitoring
Medication History,Diabetes,High,No,Medical,Immediate Attention
Medication History,Diabetes,Critical,Yes,Lifestyle,Preventive
Medication History,Hypertension,Low,No,Genetic,Moderate Monitoring
Medication History,Hypertension,Medium,Yes,Environmental,High Monitoring
Medication History,Hypertension,High,No,Medical,Immediate Attention
Medication History,Hypertension,Critical,Yes,Lifestyle,Preventive
Medication History,Stroke,Low,No,Genetic,Moderate Monitoring
Medication History,Stroke,Medium,Yes,Environmental,High Monitoring
Medication History,Stroke,High,No,Medical,Immediate Attention
Medication History,Stroke,Critical,Yes,Lifestyle,Preventive
Medication History,Kidney Disease,Low,No,Genetic,Moderate Monitoring
Medication History,Kidney Disease,Medium,Yes,Environmental,High Monitoring
Medication History,Kidney Disease,High,No,Medical,Immediate Attention
Medication History,Kidney Disease,Critical,Yes,Lifestyle,Preventive
Medication History,Liver Disease,Low,No,Genetic,Moderate Monitoring
Medication History,Liver Disease,Medium,Yes,Environmental,High Monitoring
Medication History,Liver Disease,High,No,Medical,Immediate Attention
Medication History,Liver Disease,Critical,Yes,Lifestyle,Preventive
Medication History,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
Medication History,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
Medication History,Respiratory Disorder,High,No,Medical,Immediate Attention
Medication History,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
Medication History,Cancer,Low,No,Genetic,Moderate Monitoring
Medication History,Cancer,Medium,Yes,Environmental,High Monitoring
Medication History,Cancer,High,No,Medical,Immediate Attention
Medication History,Cancer,Critical,Yes,Lifestyle,Preventive
Medication History,Obesity,Low,No,Genetic,Moderate Monitoring
Medication History,Obesity,Medium,Yes,Environmental,High Monitoring
Medication History,Obesity,High,No,Medical,Immediate Attention
Medication History,Obesity,Critical,Yes,Lifestyle,Preventive
Medication History,Depression,Low,No,Genetic,Moderate Monitoring
Medication History,Depression,Medium,Yes,Environmental,High Monitoring
Medication History,Depression,High,No,Medical,Immediate Attention
Medication History,Depression,Critical,Yes,Lifestyle,Preventive
Medication History,Anxiety,Low,No,Genetic,Moderate Monitoring
Medication History,Anxiety,Medium,Yes,Environmental,High Monitoring
Medication History,Anxiety,High,No,Medical,Immediate Attention
Medication History,Anxiety,Critical,Yes,Lifestyle,Preventive
Medication History,Infection Risk,Low,No,Genetic,Moderate Monitoring
Medication History,Infection Risk,Medium,Yes,Environmental,High Monitoring
Medication History,Infection Risk,High,No,Medical,Immediate Attention
Medication History,Infection Risk,Critical,Yes,Lifestyle,Preventive
Medication History,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
Medication History,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
Medication History,Metabolic Disorder,High,No,Medical,Immediate Attention
Medication History,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
Medication History,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
Medication History,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
Medication History,Autoimmune Disease,High,No,Medical,Immediate Attention
Medication History,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
Medication History,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
Medication History,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Medication History,Hormonal Disorder,High,No,Medical,Immediate Attention
Medication History,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
Hormonal Imbalance,Heart Disease,Low,No,Genetic,Moderate Monitoring
Hormonal Imbalance,Heart Disease,Medium,Yes,Environmental,High Monitoring
Hormonal Imbalance,Heart Disease,High,No,Medical,Immediate Attention
Hormonal Imbalance,Heart Disease,Critical,Yes,Lifestyle,Preventive
Hormonal Imbalance,Diabetes,Low,No,Genetic,Moderate Monitoring
Hormonal Imbalance,Diabetes,Medium,Yes,Environmental,High Monitoring
Hormonal Imbalance,Diabetes,High,No,Medical,Immediate Attention
Hormonal Imbalance,Diabetes,Critical,Yes,Lifestyle,Preventive
Hormonal Imbalance,Hypertension,Low,No,Genetic,Moderate Monitoring
Hormonal Imbalance,Hypertension,Medium,Yes,Environmental,High Monitoring
Hormonal Imbalance,Hypertension,High,No,Medical,Immediate Attention
Hormonal Imbalance,Hypertension,Critical,Yes,Lifestyle,Preventive
Hormonal Imbalance,Stroke,Low,No,Genetic,Moderate Monitoring
Hormonal Imbalance,Stroke,Medium,Yes,Environmental,High Monitoring
Hormonal Imbalance,Stroke,High,No,Medical,Immediate Attention
Hormonal Imbalance,Stroke,Critical,Yes,Lifestyle,Preventive
Hormonal Imbalance,Kidney Disease,Low,No,Genetic,Moderate Monitoring
Hormonal Imbalance,Kidney Disease,Medium,Yes,Environmental,High Monitoring
Hormonal Imbalance,Kidney Disease,High,No,Medical,Immediate Attention
Hormonal Imbalance,Kidney Disease,Critical,Yes,Lifestyle,Preventive
Hormonal Imbalance,Liver Disease,Low,No,Genetic,Moderate Monitoring
Hormonal Imbalance,Liver Disease,Medium,Yes,Environmental,High Monitoring
Hormonal Imbalance,Liver Disease,High,No,Medical,Immediate Attention
Hormonal Imbalance,Liver Disease,Critical,Yes,Lifestyle,Preventive
Hormonal Imbalance,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
Hormonal Imbalance,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
Hormonal Imbalance,Respiratory Disorder,High,No,Medical,Immediate Attention
Hormonal Imbalance,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
Hormonal Imbalance,Cancer,Low,No,Genetic,Moderate Monitoring
Hormonal Imbalance,Cancer,Medium,Yes,Environmental,High Monitoring
Hormonal Imbalance,Cancer,High,No,Medical,Immediate Attention
Hormonal Imbalance,Cancer,Critical,Yes,Lifestyle,Preventive
Hormonal Imbalance,Obesity,Low,No,Genetic,Moderate Monitoring
Hormonal Imbalance,Obesity,Medium,Yes,Environmental,High Monitoring
Hormonal Imbalance,Obesity,High,No,Medical,Immediate Attention
Hormonal Imbalance,Obesity,Critical,Yes,Lifestyle,Preventive
Hormonal Imbalance,Depression,Low,No,Genetic,Moderate Monitoring
Hormonal Imbalance,Depression,Medium,Yes,Environmental,High Monitoring
Hormonal Imbalance,Depression,High,No,Medical,Immediate Attention
Hormonal Imbalance,Depression,Critical,Yes,Lifestyle,Preventive
Hormonal Imbalance,Anxiety,Low,No,Genetic,Moderate Monitoring
Hormonal Imbalance,Anxiety,Medium,Yes,Environmental,High Monitoring
Hormonal Imbalance,Anxiety,High,No,Medical,Immediate Attention
Hormonal Imbalance,Anxiety,Critical,Yes,Lifestyle,Preventive
Hormonal Imbalance,Infection Risk,Low,No,Genetic,Moderate Monitoring
Hormonal Imbalance,Infection Risk,Medium,Yes,Environmental,High Monitoring
Hormonal Imbalance,Infection Risk,High,No,Medical,Immediate Attention
Hormonal Imbalance,Infection Risk,Critical,Yes,Lifestyle,Preventive
Hormonal Imbalance,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
Hormonal Imbalance,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
Hormonal Imbalance,Metabolic Disorder,High,No,Medical,Immediate Attention
Hormonal Imbalance,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
Hormonal Imbalance,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
Hormonal Imbalance,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
Hormonal Imbalance,Autoimmune Disease,High,No,Medical,Immediate Attention
Hormonal Imbalance,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
Hormonal Imbalance,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
Hormonal Imbalance,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Hormonal Imbalance,Hormonal Disorder,High,No,Medical,Immediate Attention
Hormonal Imbalance,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
Pregnancy,Heart Disease,Low,No,Genetic,Moderate Monitoring
Pregnancy,Heart Disease,Medium,Yes,Environmental,High Monitoring
Pregnancy,Heart Disease,High,No,Medical,Immediate Attention
Pregnancy,Heart Disease,Critical,Yes,Lifestyle,Preventive
Pregnancy,Diabetes,Low,No,Genetic,Moderate Monitoring
Pregnancy,Diabetes,Medium,Yes,Environmental,High Monitoring
Pregnancy,Diabetes,High,No,Medical,Immediate Attention
Pregnancy,Diabetes,Critical,Yes,Lifestyle,Preventive
Pregnancy,Hypertension,Low,No,Genetic,Moderate Monitoring
Pregnancy,Hypertension,Medium,Yes,Environmental,High Monitoring
Pregnancy,Hypertension,High,No,Medical,Immediate Attention
Pregnancy,Hypertension,Critical,Yes,Lifestyle,Preventive
Pregnancy,Stroke,Low,No,Genetic,Moderate Monitoring
Pregnancy,Stroke,Medium,Yes,Environmental,High Monitoring
Pregnancy,Stroke,High,No,Medical,Immediate Attention
Pregnancy,Stroke,Critical,Yes,Lifestyle,Preventive
Pregnancy,Kidney Disease,Low,No,Genetic,Moderate Monitoring
Pregnancy,Kidney Disease,Medium,Yes,Environmental,High Monitoring
Pregnancy,Kidney Disease,High,No,Medical,Immediate Attention
Pregnancy,Kidney Disease,Critical,Yes,Lifestyle,Preventive
Pregnancy,Liver Disease,Low,No,Genetic,Moderate Monitoring
Pregnancy,Liver Disease,Medium,Yes,Environmental,High Monitoring
Pregnancy,Liver Disease,High,No,Medical,Immediate Attention
Pregnancy,Liver Disease,Critical,Yes,Lifestyle,Preventive
Pregnancy,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
Pregnancy,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
Pregnancy,Respiratory Disorder,High,No,Medical,Immediate Attention
Pregnancy,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
Pregnancy,Cancer,Low,No,Genetic,Moderate Monitoring
Pregnancy,Cancer,Medium,Yes,Environmental,High Monitoring
Pregnancy,Cancer,High,No,Medical,Immediate Attention
Pregnancy,Cancer,Critical,Yes,Lifestyle,Preventive
Pregnancy,Obesity,Low,No,Genetic,Moderate Monitoring
Pregnancy,Obesity,Medium,Yes,Environmental,High Monitoring
Pregnancy,Obesity,High,No,Medical,Immediate Attention
Pregnancy,Obesity,Critical,Yes,Lifestyle,Preventive
Pregnancy,Depression,Low,No,Genetic,Moderate Monitoring
Pregnancy,Depression,Medium,Yes,Environmental,High Monitoring
Pregnancy,Depression,High,No,Medical,Immediate Attention
Pregnancy,Depression,Critical,Yes,Lifestyle,Preventive
Pregnancy,Anxiety,Low,No,Genetic,Moderate Monitoring
Pregnancy,Anxiety,Medium,Yes,Environmental,High Monitoring
Pregnancy,Anxiety,High,No,Medical,Immediate Attention
Pregnancy,Anxiety,Critical,Yes,Lifestyle,Preventive
Pregnancy,Infection Risk,Low,No,Genetic,Moderate Monitoring
Pregnancy,Infection Risk,Medium,Yes,Environmental,High Monitoring
Pregnancy,Infection Risk,High,No,Medical,Immediate Attention
Pregnancy,Infection Risk,Critical,Yes,Lifestyle,Preventive
Pregnancy,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
Pregnancy,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
Pregnancy,Metabolic Disorder,High,No,Medical,Immediate Attention
Pregnancy,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
Pregnancy,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
Pregnancy,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
Pregnancy,Autoimmune Disease,High,No,Medical,Immediate Attention
Pregnancy,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
Pregnancy,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
Pregnancy,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Pregnancy,Hormonal Disorder,High,No,Medical,Immediate Attention
Pregnancy,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
Menopause,Heart Disease,Low,No,Genetic,Moderate Monitoring
Menopause,Heart Disease,Medium,Yes,Environmental,High Monitoring
Menopause,Heart Disease,High,No,Medical,Immediate Attention
Menopause,Heart Disease,Critical,Yes,Lifestyle,Preventive
Menopause,Diabetes,Low,No,Genetic,Moderate Monitoring
Menopause,Diabetes,Medium,Yes,Environmental,High Monitoring
Menopause,Diabetes,High,No,Medical,Immediate Attention
Menopause,Diabetes,Critical,Yes,Lifestyle,Preventive
Menopause,Hypertension,Low,No,Genetic,Moderate Monitoring
Menopause,Hypertension,Medium,Yes,Environmental,High Monitoring
Menopause,Hypertension,High,No,Medical,Immediate Attention
Menopause,Hypertension,Critical,Yes,Lifestyle,Preventive
Menopause,Stroke,Low,No,Genetic,Moderate Monitoring
Menopause,Stroke,Medium,Yes,Environmental,High Monitoring
Menopause,Stroke,High,No,Medical,Immediate Attention
Menopause,Stroke,Critical,Yes,Lifestyle,Preventive
Menopause,Kidney Disease,Low,No,Genetic,Moderate Monitoring
Menopause,Kidney Disease,Medium,Yes,Environmental,High Monitoring
Menopause,Kidney Disease,High,No,Medical,Immediate Attention
Menopause,Kidney Disease,Critical,Yes,Lifestyle,Preventive
Menopause,Liver Disease,Low,No,Genetic,Moderate Monitoring
Menopause,Liver Disease,Medium,Yes,Environmental,High Monitoring
Menopause,Liver Disease,High,No,Medical,Immediate Attention
Menopause,Liver Disease,Critical,Yes,Lifestyle,Preventive
Menopause,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
Menopause,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
Menopause,Respiratory Disorder,High,No,Medical,Immediate Attention
Menopause,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
Menopause,Cancer,Low,No,Genetic,Moderate Monitoring
Menopause,Cancer,Medium,Yes,Environmental,High Monitoring
Menopause,Cancer,High,No,Medical,Immediate Attention
Menopause,Cancer,Critical,Yes,Lifestyle,Preventive
Menopause,Obesity,Low,No,Genetic,Moderate Monitoring
Menopause,Obesity,Medium,Yes,Environmental,High Monitoring
Menopause,Obesity,High,No,Medical,Immediate Attention
Menopause,Obesity,Critical,Yes,Lifestyle,Preventive
Menopause,Depression,Low,No,Genetic,Moderate Monitoring
Menopause,Depression,Medium,Yes,Environmental,High Monitoring
Menopause,Depression,High,No,Medical,Immediate Attention
Menopause,Depression,Critical,Yes,Lifestyle,Preventive
Menopause,Anxiety,Low,No,Genetic,Moderate Monitoring
Menopause,Anxiety,Medium,Yes,Environmental,High Monitoring
Menopause,Anxiety,High,No,Medical,Immediate Attention
Menopause,Anxiety,Critical,Yes,Lifestyle,Preventive
Menopause,Infection Risk,Low,No,Genetic,Moderate Monitoring
Menopause,Infection Risk,Medium,Yes,Environmental,High Monitoring
Menopause,Infection Risk,High,No,Medical,Immediate Attention
Menopause,Infection Risk,Critical,Yes,Lifestyle,Preventive
Menopause,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
Menopause,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
Menopause,Metabolic Disorder,High,No,Medical,Immediate Attention
Menopause,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
Menopause,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
Menopause,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
Menopause,Autoimmune Disease,High,No,Medical,Immediate Attention
Menopause,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
Menopause,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
Menopause,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Menopause,Hormonal Disorder,High,No,Medical,Immediate Attention
Menopause,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
Kidney Disease History,Heart Disease,Low,No,Genetic,Moderate Monitoring
