symptom,follow_up_question,question_type,expected_values,priority,clinical_category,emergency_flag
Muscle Pain,Any emergency warning signs (Variant 1350)?,Emergency Flag,Yes/No,Low,MSK,No
Palpitations,Since how many days (Variant 1351)?,Duration,Numeric,Medium,Dermatology,Yes
Palpitations,"Mild, moderate or severe (Variant 1352)?",Severity,Mild/Moderate/Severe,High,Emergency,No
Palpitations,How frequently does it occur (Variant 1353)?,Frequency,Occasional/Frequent,Low,General,Yes
Palpitations,When did it start worsening (Variant 1354)?,Progression,Numeric,Medium,Respiratory,No
Palpitations,Any associated symptoms present (Variant 1355)?,Associated Symptom,Yes/No,High,Cardiac,Yes
Palpitations,Triggered by activity (Variant 1356)?,Trigger,Yes/No,Low,Neurology,No
Palpitations,Localized or widespread (Variant 1357)?,Location,Localized/Diffuse,Medium,GI,Yes
Palpitations,Constant or intermittent (Variant 1358)?,Pattern,Constant/Intermittent,High,Endocrine,No
Palpitations,Does it affect daily activities (Variant 1359)?,Impact,Yes/No,Low,MSK,Yes
Palpitations,Any emergency warning signs (Variant 1360)?,Emergency Flag,Yes/No,Medium,Dermatology,No
Leg Swelling,Since how many days (Variant 1361)?,Duration,Numeric,High,Emergency,Yes
Leg Swelling,"Mild, moderate or severe (Variant 1362)?",Severity,Mild/Moderate/Severe,Low,General,No
Leg Swelling,How frequently does it occur (Variant 1363)?,Frequency,Occasional/Frequent,Medium,Respiratory,Yes
Leg Swelling,When did it start worsening (Variant 1364)?,Progression,Numeric,High,Cardiac,No
Leg Swelling,Any associated symptoms present (Variant 1365)?,Associated Symptom,Yes/No,Low,Neurology,Yes
Leg Swelling,Triggered by activity (Variant 1366)?,Trigger,Yes/No,Medium,GI,No
Leg Swelling,Localized or widespread (Variant 1367)?,Location,Localized/Diffuse,High,Endocrine,Yes
Leg Swelling,Constant or intermittent (Variant 1368)?,Pattern,Constant/Intermittent,Low,MSK,No
Leg Swelling,Does it affect daily activities (Variant 1369)?,Impact,Yes/No,Medium,Dermatology,Yes
Leg Swelling,Any emergency warning signs (Variant 1370)?,Emergency Flag,Yes/No,High,Emergency,No
Syncope,Since how many days (Variant 1371)?,Duration,Numeric,Low,General,Yes
Syncope,"Mild, moderate or severe (Variant 1372)?",Severity,Mild/Moderate/Severe,Medium,Respiratory,No
Syncope,How frequently does it occur (Variant 1373)?,Frequency,Occasional/Frequent,High,Cardiac,Yes
Syncope,When did it start worsening (Variant 1374)?,Progression,Numeric,Low,Neurology,No
Syncope,Any associated symptoms present (Variant 1375)?,Associated Symptom,Yes/No,Medium,GI,Yes
Syncope,Triggered by activity (Variant 1376)?,Trigger,Yes/No,High,Endocrine,No
Syncope,Localized or widespread (Variant 1377)?,Location,Localized/Diffuse,Low,MSK,Yes
Syncope,Constant or intermittent (Variant 1378)?,Pattern,Constant/Intermittent,Medium,Dermatology,No
Syncope,Does it affect daily activities (Variant 1379)?,Impact,Yes/No,High,Emergency,Yes
Syncope,Any emergency warning signs (Variant 1380)?,Emergency Flag,Yes/No,Low,General,No
Wheezing,Since how many days (Variant 1381)?,Duration,Numeric,Medium,Respiratory,Yes
Wheezing,"Mild, moderate or severe (Variant 1382)?",Severity,Mild/Moderate/Severe,High,Cardiac,No
Wheezing,How frequently does it occur (Variant 1383)?,Frequency,Occasional/Frequent,Low,Neurology,Yes
Wheezing,When did it start worsening (Variant 1384)?,Progression,Numeric,Medium,GI,No
Wheezing,Any associated symptoms present (Variant 1385)?,Associated Symptom,Yes/No,High,Endocrine,Yes
Wheezing,Triggered by activity (Variant 1386)?,Trigger,Yes/No,Low,MSK,No
Wheezing,Localized or widespread (Variant 1387)?,Location,Localized/Diffuse,Medium,Dermatology,Yes
Wheezing,Constant or intermittent (Variant 1388)?,Pattern,Constant/Intermittent,High,Emergency,No
Wheezing,Does it affect daily activities (Variant 1389)?,Impact,Yes/No,Low,General,Yes
Wheezing,Any emergency warning signs (Variant 1390)?,Emergency Flag,Yes/No,Medium,Respiratory,No
Sore Throat,Since how many days (Variant 1391)?,Duration,Numeric,High,Cardiac,Yes
Sore Throat,"Mild, moderate or severe (Variant 1392)?",Severity,Mild/Moderate/Severe,Low,Neurology,No
Sore Throat,How frequently does it occur (Variant 1393)?,Frequency,Occasional/Frequent,Medium,GI,Yes
Sore Throat,When did it start worsening (Variant 1394)?,Progression,Numeric,High,Endocrine,No
Sore Throat,Any associated symptoms present (Variant 1395)?,Associated Symptom,Yes/No,Low,MSK,Yes
Sore Throat,Triggered by activity (Variant 1396)?,Trigger,Yes/No,Medium,Dermatology,No
Sore Throat,Localized or widespread (Variant 1397)?,Location,Localized/Diffuse,High,Emergency,Yes
Sore Throat,Constant or intermittent (Variant 1398)?,Pattern,Constant/Intermittent,Low,General,No
Sore Throat,Does it affect daily activities (Variant 1399)?,Impact,Yes/No,Medium,Respiratory,Yes
Sore Throat,Any emergency warning signs (Variant 1400)?,Emergency Flag,Yes/No,High,Cardiac,No
Runny Nose,Since how many days (Variant 1401)?,Duration,Numeric,Low,Neurology,Yes
Runny Nose,"Mild, moderate or severe (Variant 1402)?",Severity,Mild/Moderate/Severe,Medium,GI,No
Runny Nose,How frequently does it occur (Variant 1403)?,Frequency,Occasional/Frequent,High,Endocrine,Yes
Runny Nose,When did it start worsening (Variant 1404)?,Progression,Numeric,Low,MSK,No
Runny Nose,Any associated symptoms present (Variant 1405)?,Associated Symptom,Yes/No,Medium,Dermatology,Yes
Runny Nose,Triggered by activity (Variant 1406)?,Trigger,Yes/No,High,Emergency,No
Runny Nose,Localized or widespread (Variant 1407)?,Location,Localized/Diffuse,Low,General,Yes
Runny Nose,Constant or intermittent (Variant 1408)?,Pattern,Constant/Intermittent,Medium,Respiratory,No
Runny Nose,Does it affect daily activities (Variant 1409)?,Impact,Yes/No,High,Cardiac,Yes
Runny Nose,Any emergency warning signs (Variant 1410)?,Emergency Flag,Yes/No,Low,Neurology,No
Nasal Congestion,Since how many days (Variant 1411)?,Duration,Numeric,Medium,GI,Yes
Nasal Congestion,"Mild, moderate or severe (Variant 1412)?",Severity,Mild/Moderate/Severe,High,Endocrine,No
Nasal Congestion,How frequently does it occur (Variant 1413)?,Frequency,Occasional/Frequent,Low,MSK,Yes
Nasal Congestion,When did it start worsening (Variant 1414)?,Progression,Numeric,Medium,Dermatology,No
Nasal Congestion,Any associated symptoms present (Variant 1415)?,Associated Symptom,Yes/No,High,Emergency,Yes
Nasal Congestion,Triggered by activity (Variant 1416)?,Trigger,Yes/No,Low,General,No
Nasal Congestion,Localized or widespread (Variant 1417)?,Location,Localized/Diffuse,Medium,Respiratory,Yes
Nasal Congestion,Constant or intermittent (Variant 1418)?,Pattern,Constant/Intermittent,High,Cardiac,No
Nasal Congestion,Does it affect daily activities (Variant 1419)?,Impact,Yes/No,Low,Neurology,Yes
Nasal Congestion,Any emergency warning signs (Variant 1420)?,Emergency Flag,Yes/No,Medium,GI,No
Chills,Since how many days (Variant 1421)?,Duration,Numeric,High,Endocrine,Yes
Chills,"Mild, moderate or severe (Variant 1422)?",Severity,Mild/Moderate/Severe,Low,MSK,No
Chills,How frequently does it occur (Variant 1423)?,Frequency,Occasional/Frequent,Medium,Dermatology,Yes
Chills,When did it start worsening (Variant 1424)?,Progression,Numeric,High,Emergency,No
Chills,Any associated symptoms present (Variant 1425)?,Associated Symptom,Yes/No,Low,General,Yes
Chills,Triggered by activity (Variant 1426)?,Trigger,Yes/No,Medium,Respiratory,No
Chills,Localized or widespread (Variant 1427)?,Location,Localized/Diffuse,High,Cardiac,Yes
Chills,Constant or intermittent (Variant 1428)?,Pattern,Constant/Intermittent,Low,Neurology,No
Chills,Does it affect daily activities (Variant 1429)?,Impact,Yes/No,Medium,GI,Yes
Chills,Any emergency warning signs (Variant 1430)?,Emergency Flag,Yes/No,High,Endocrine,No
Night Sweats,Since how many days (Variant 1431)?,Duration,Numeric,Low,MSK,Yes
Night Sweats,"Mild, moderate or severe (Variant 1432)?",Severity,Mild/Moderate/Severe,Medium,Dermatology,No
Night Sweats,How frequently does it occur (Variant 1433)?,Frequency,Occasional/Frequent,High,Emergency,Yes
Night Sweats,When did it start worsening (Variant 1434)?,Progression,Numeric,Low,General,No
Night Sweats,Any associated symptoms present (Variant 1435)?,Associated Symptom,Yes/No,Medium,Respiratory,Yes
Night Sweats,Triggered by activity (Variant 1436)?,Trigger,Yes/No,High,Cardiac,No
Night Sweats,Localized or widespread (Variant 1437)?,Location,Localized/Diffuse,Low,Neurology,Yes
Night Sweats,Constant or intermittent (Variant 1438)?,Pattern,Constant/Intermittent,Medium,GI,No
Night Sweats,Does it affect daily activities (Variant 1439)?,Impact,Yes/No,High,Endocrine,Yes
Night Sweats,Any emergency warning signs (Variant 1440)?,Emergency Flag,Yes/No,Low,MSK,No
Weight Loss,Since how many days (Variant 1441)?,Duration,Numeric,Medium,Dermatology,Yes
Weight Loss,"Mild, moderate or severe (Variant 1442)?",Severity,Mild/Moderate/Severe,High,Emergency,No
Weight Loss,How frequently does it occur (Variant 1443)?,Frequency,Occasional/Frequent,Low,General,Yes
Weight Loss,When did it start worsening (Variant 1444)?,Progression,Numeric,Medium,Respiratory,No
Weight Loss,Any associated symptoms present (Variant 1445)?,Associated Symptom,Yes/No,High,Cardiac,Yes
Weight Loss,Triggered by activity (Variant 1446)?,Trigger,Yes/No,Low,Neurology,No
Weight Loss,Localized or widespread (Variant 1447)?,Location,Localized/Diffuse,Medium,GI,Yes
Weight Loss,Constant or intermittent (Variant 1448)?,Pattern,Constant/Intermittent,High,Endocrine,No
Weight Loss,Does it affect daily activities (Variant 1449)?,Impact,Yes/No,Low,MSK,Yes
Weight Loss,Any emergency warning signs (Variant 1450)?,Emergency Flag,Yes/No,Medium,Dermatology,No
Loss of Appetite,Since how many days (Variant 1451)?,Duration,Numeric,High,Emergency,Yes
Loss of Appetite,"Mild, moderate or severe (Variant 1452)?",Severity,Mild/Moderate/Severe,Low,General,No
Loss of Appetite,How frequently does it occur (Variant 1453)?,Frequency,Occasional/Frequent,Medium,Respiratory,Yes
Loss of Appetite,When did it start worsening (Variant 1454)?,Progression,Numeric,High,Cardiac,No
Loss of Appetite,Any associated symptoms present (Variant 1455)?,Associated Symptom,Yes/No,Low,Neurology,Yes
Loss of Appetite,Triggered by activity (Variant 1456)?,Trigger,Yes/No,Medium,GI,No
Loss of Appetite,Localized or widespread (Variant 1457)?,Location,Localized/Diffuse,High,Endocrine,Yes
Loss of Appetite,Constant or intermittent (Variant 1458)?,Pattern,Constant/Intermittent,Low,MSK,No
Loss of Appetite,Does it affect daily activities (Variant 1459)?,Impact,Yes/No,Medium,Dermatology,Yes
Loss of Appetite,Any emergency warning signs (Variant 1460)?,Emergency Flag,Yes/No,High,Emergency,No
Weakness,Since how many days (Variant 1461)?,Duration,Numeric,Low,General,Yes
Weakness,"Mild, moderate or severe (Variant 1462)?",Severity,Mild/Moderate/Severe,Medium,Respiratory,No
Weakness,How frequently does it occur (Variant 1463)?,Frequency,Occasional/Frequent,High,Cardiac,Yes
Weakness,When did it start worsening (Variant 1464)?,Progression,Numeric,Low,Neurology,No
Weakness,Any associated symptoms present (Variant 1465)?,Associated Symptom,Yes/No,Medium,GI,Yes
Weakness,Triggered by activity (Variant 1466)?,Trigger,Yes/No,High,Endocrine,No
Weakness,Localized or widespread (Variant 1467)?,Location,Localized/Diffuse,Low,MSK,Yes
Weakness,Constant or intermittent (Variant 1468)?,Pattern,Constant/Intermittent,Medium,Dermatology,No
Weakness,Does it affect daily activities (Variant 1469)?,Impact,Yes/No,High,Emergency,Yes
Weakness,Any emergency warning signs (Variant 1470)?,Emergency Flag,Yes/No,Low,General,No
Confusion,Since how many days (Variant 1471)?,Duration,Numeric,Medium,Respiratory,Yes
Confusion,"Mild, moderate or severe (Variant 1472)?",Severity,Mild/Moderate/Severe,High,Cardiac,No
Confusion,How frequently does it occur (Variant 1473)?,Frequency,Occasional/Frequent,Low,Neurology,Yes
Confusion,When did it start worsening (Variant 1474)?,Progression,Numeric,Medium,GI,No
Confusion,Any associated symptoms present (Variant 1475)?,Associated Symptom,Yes/No,High,Endocrine,Yes
Confusion,Triggered by activity (Variant 1476)?,Trigger,Yes/No,Low,MSK,No
Confusion,Localized or widespread (Variant 1477)?,Location,Localized/Diffuse,Medium,Dermatology,Yes
Confusion,Constant or intermittent (Variant 1478)?,Pattern,Constant/Intermittent,High,Emergency,No
Confusion,Does it affect daily activities (Variant 1479)?,Impact,Yes/No,Low,General,Yes
Confusion,Any emergency warning signs (Variant 1480)?,Emergency Flag,Yes/No,Medium,Respiratory,No
Memory Loss,Since how many days (Variant 1481)?,Duration,Numeric,High,Cardiac,Yes
Memory Loss,"Mild, moderate or severe (Variant 1482)?",Severity,Mild/Moderate/Severe,Low,Neurology,No
Memory Loss,How frequently does it occur (Variant 1483)?,Frequency,Occasional/Frequent,Medium,GI,Yes
Memory Loss,When did it start worsening (Variant 1484)?,Progression,Numeric,High,Endocrine,No
Memory Loss,Any associated symptoms present (Variant 1485)?,Associated Symptom,Yes/No,Low,MSK,Yes
Memory Loss,Triggered by activity (Variant 1486)?,Trigger,Yes/No,Medium,Dermatology,No
Memory Loss,Localized or widespread (Variant 1487)?,Location,Localized/Diffuse,High,Emergency,Yes
Memory Loss,Constant or intermittent (Variant 1488)?,Pattern,Constant/Intermittent,Low,General,No
Memory Loss,Does it affect daily activities (Variant 1489)?,Impact,Yes/No,Medium,Respiratory,Yes
Memory Loss,Any emergency warning signs (Variant 1490)?,Emergency Flag,Yes/No,High,Cardiac,No
Seizure,Since how many days (Variant 1491)?,Duration,Numeric,Low,Neurology,Yes
Seizure,"Mild, moderate or severe (Variant 1492)?",Severity,Mild/Moderate/Severe,Medium,GI,No
Seizure,How frequently does it occur (Variant 1493)?,Frequency,Occasional/Frequent,High,Endocrine,Yes
Seizure,When did it start worsening (Variant 1494)?,Progression,Numeric,Low,MSK,No
Seizure,Any associated symptoms present (Variant 1495)?,Associated Symptom,Yes/No,Medium,Dermatology,Yes
Seizure,Triggered by activity (Variant 1496)?,Trigger,Yes/No,High,Emergency,No
Seizure,Localized or widespread (Variant 1497)?,Location,Localized/Diffuse,Low,General,Yes
Seizure,Constant or intermittent (Variant 1498)?,Pattern,Constant/Intermittent,Medium,Respiratory,No
Seizure,Does it affect daily activities (Variant 1499)?,Impact,Yes/No,High,Cardiac,Yes
Seizure,Any emergency warning signs (Variant 1500)?,Emergency Flag,Yes/No,Low,Neurology,No
Numbness,Since how many days (Variant 1501)?,Duration,Numeric,Medium,GI,Yes
Numbness,"Mild, moderate or severe (Variant 1502)?",Severity,Mild/Moderate/Severe,High,Endocrine,No
Numbness,How frequently does it occur (Variant 1503)?,Frequency,Occasional/Frequent,Low,MSK,Yes
Numbness,When did it start worsening (Variant 1504)?,Progression,Numeric,Medium,Dermatology,No
Numbness,Any associated symptoms present (Variant 1505)?,Associated Symptom,Yes/No,High,Emergency,Yes
Numbness,Triggered by activity (Variant 1506)?,Trigger,Yes/No,Low,General,No
Numbness,Localized or widespread (Variant 1507)?,Location,Localized/Diffuse,Medium,Respiratory,Yes
Numbness,Constant or intermittent (Variant 1508)?,Pattern,Constant/Intermittent,High,Cardiac,No
Numbness,Does it affect daily activities (Variant 1509)?,Impact,Yes/No,Low,Neurology,Yes
Numbness,Any emergency warning signs (Variant 1510)?,Emergency Flag,Yes/No,Medium,GI,No
Tingling,Since how many days (Variant 1511)?,Duration,Numeric,High,Endocrine,Yes
Tingling,"Mild, moderate or severe (Variant 1512)?",Severity,Mild/Moderate/Severe,Low,MSK,No
Tingling,How frequently does it occur (Variant 1513)?,Frequency,Occasional/Frequent,Medium,Dermatology,Yes
Tingling,When did it start worsening (Variant 1514)?,Progression,Numeric,High,Emergency,No
Tingling,Any associated symptoms present (Variant 1515)?,Associated Symptom,Yes/No,Low,General,Yes
Tingling,Triggered by activity (Variant 1516)?,Trigger,Yes/No,Medium,Respiratory,No
Tingling,Localized or widespread (Variant 1517)?,Location,Localized/Diffuse,High,Cardiac,Yes
Tingling,Constant or intermittent (Variant 1518)?,Pattern,Constant/Intermittent,Low,Neurology,No
Tingling,Does it affect daily activities (Variant 1519)?,Impact,Yes/No,Medium,GI,Yes
Tingling,Any emergency warning signs (Variant 1520)?,Emergency Flag,Yes/No,High,Endocrine,No
Tremor,Since how many days (Variant 1521)?,Duration,Numeric,Low,MSK,Yes
Tremor,"Mild, moderate or severe (Variant 1522)?",Severity,Mild/Moderate/Severe,Medium,Dermatology,No
Tremor,How frequently does it occur (Variant 1523)?,Frequency,Occasional/Frequent,High,Emergency,Yes
Tremor,When did it start worsening (Variant 1524)?,Progression,Numeric,Low,General,No
Tremor,Any associated symptoms present (Variant 1525)?,Associated Symptom,Yes/No,Medium,Respiratory,Yes
Tremor,Triggered by activity (Variant 1526)?,Trigger,Yes/No,High,Cardiac,No
Tremor,Localized or widespread (Variant 1527)?,Location,Localized/Diffuse,Low,Neurology,Yes
Tremor,Constant or intermittent (Variant 1528)?,Pattern,Constant/Intermittent,Medium,GI,No
Tremor,Does it affect daily activities (Variant 1529)?,Impact,Yes/No,High,Endocrine,Yes
Tremor,Any emergency warning signs (Variant 1530)?,Emergency Flag,Yes/No,Low,MSK,No
Facial Droop,Since how many days (Variant 1531)?,Duration,Numeric,Medium,Dermatology,Yes
Facial Droop,"Mild, moderate or severe (Variant 1532)?",Severity,Mild/Moderate/Severe,High,Emergency,No
Facial Droop,How frequently does it occur (Variant 1533)?,Frequency,Occasional/Frequent,Low,General,Yes
Facial Droop,When did it start worsening (Variant 1534)?,Progression,Numeric,Medium,Respiratory,No
Facial Droop,Any associated symptoms present (Variant 1535)?,Associated Symptom,Yes/No,High,Cardiac,Yes
Facial Droop,Triggered by activity (Variant 1536)?,Trigger,Yes/No,Low,Neurology,No
Facial Droop,Localized or widespread (Variant 1537)?,Location,Localized/Diffuse,Medium,GI,Yes
Facial Droop,Constant or intermittent (Variant 1538)?,Pattern,Constant/Intermittent,High,Endocrine,No
