id,disease_name,category,severity,target_demographic,symptoms,description,medical_advice
373,Viral Pharyngitis,Respiratory,Chronic,Child,"sore throat, scratchy throat, difficulty swallowing","Chronic case of Viral Pharyngitis. Inflammation of the pharynx, usually caused by a viral infection. Target demographic: Child.",Seek immediate medical attention.
374,Acid Reflux,Digestive,Severe,Child,"heartburn, chest pain, regurgitation, difficulty swallowing, fatigue, dehydration",Severe case of Acid Reflux. A digestive disease where stomach acid irritates the food pipe. Target demographic: Child.,Maintain good hygiene.
375,Canker Sore,Dental,Acute,Child,"small ulcer in mouth, pain, difficulty eating","Acute case of Canker Sore. A small, shallow lesion on the soft tissues in your mouth. Target demographic: Child.",Consult a doctor if symptoms persist for more than 48 hours.
376,Bunion,Musculoskeletal,Acute,Female,"bump on big toe joint, redness, pain, swelling",Acute case of Bunion. A bony bump that forms on the joint at the base of your big toe. Target demographic: Female.,Avoid triggers like spicy food or allergens.
377,Constipation,Digestive,Acute,Elderly,"infrequent bowel movements, hard stools, straining",Acute case of Constipation. Infrequent bowel movements or difficult passage of stools. Target demographic: Elderly.,Prescription medication might be required.
378,Fever,General,Moderate,Male,"elevated body temperature, sweating, chills, headache","Moderate case of Fever. A temporary increase in body temperature, often due to an illness. Target demographic: Male.",Apply ice or heat to the affected area.
379,Yeast Infection,Reproductive,Moderate,Child,"itching, irritation, vaginal discharge, pain during urination","Moderate case of Yeast Infection. A fungal infection that causes irritation, discharge, and intense itchiness. Target demographic: Child.",Prescription medication might be required.
380,Viral Pharyngitis,Respiratory,Mild,Female,"sore throat,  scratchy throat","Mild case of Viral Pharyngitis. Inflammation of the pharynx, usually caused by a viral infection. Target demographic: Female.",Rest and hydration recommended.
381,Acid Reflux,Digestive,Severe,Child,"heartburn, chest pain, regurgitation, difficulty swallowing, fatigue, dehydration",Severe case of Acid Reflux. A digestive disease where stomach acid irritates the food pipe. Target demographic: Child.,Home remedies can alleviate symptoms.
382,Contact Dermatitis,Skin,Chronic,Adult,"red rash, itching, dry skin, blisters",Chronic case of Contact Dermatitis. A skin reaction caused by contact with an allergen or irritant. Target demographic: Adult.,Home remedies can alleviate symptoms.
383,Tennis Elbow,Musculoskeletal,Chronic,General,"pain on outer elbow, weak grip, burning sensation","Chronic case of Tennis Elbow. Painful condition caused by overuse of arm, forearm, and hand muscles. Target demographic: General.",Prescription medication might be required.
384,Heat Exhaustion,Environmental,Severe,General,"heavy sweating, faintness, dizziness, fatigue, cool skin, fatigue, dehydration",Severe case of Heat Exhaustion. A condition where the body overheats due to exposure to high temperatures. Target demographic: General.,Maintain good hygiene.
385,Ear Infection,Ears,Moderate,Child,"ear pain, difficulty hearing, drainage from ear",Moderate case of Ear Infection. A bacterial or viral infection that affects the middle ear. Target demographic: Child.,Home remedies can alleviate symptoms.
386,Influenza B,Respiratory,Acute,General,"fever, chills, muscle aches, cough, fatigue","Acute case of Influenza B. A specific strain of the flu virus, typically appearing in seasonal outbreaks. Target demographic: General.",Rest and hydration recommended.
387,Nosebleed,General,Moderate,Adult,"bleeding from nose, dry nasal membranes","Moderate case of Nosebleed. Bleeding from the inside of the nose, common in dry climates. Target demographic: Adult.",Apply ice or heat to the affected area.
388,Sinusitis,Respiratory,Acute,Elderly,"facial pain, thick nasal discharge, headache, cough",Acute case of Sinusitis. Inflammation or swelling of the tissue lining the sinuses. Target demographic: Elderly.,Rest and hydration recommended.
389,Heat Exhaustion,Environmental,Mild,Male,"heavy sweating,  faintness",Mild case of Heat Exhaustion. A condition where the body overheats due to exposure to high temperatures. Target demographic: Male.,Prescription medication might be required.
390,Lower Back Pain,Musculoskeletal,Acute,Elderly,"pain in lower back, stiffness, reduced range of motion","Acute case of Lower Back Pain. Common disorder involving the muscles, nerves, and bones of the back. Target demographic: Elderly.",Over-the-counter medication may help.
391,Gingivitis,Dental,Acute,Child,"swollen gums, bleeding gums, bad breath, receding gums",Acute case of Gingivitis. A common and mild form of gum disease that causes irritation. Target demographic: Child.,Seek immediate medical attention.
392,Asthma,Respiratory,Mild,Adult,"wheezing,  shortness of breath",Mild case of Asthma. A condition in which airways narrow and swell and may produce extra mucus. Target demographic: Adult.,Seek immediate medical attention.
393,Menstrual Cramps,Reproductive,Mild,Male,"throbbing pain in lower abdomen,  nausea",Mild case of Menstrual Cramps. Pain in the lower abdomen that occurs during a menstrual period. Target demographic: Male.,Rest and hydration recommended.
394,Constipation,Digestive,Severe,Child,"infrequent bowel movements, hard stools, straining, fatigue, dehydration",Severe case of Constipation. Infrequent bowel movements or difficult passage of stools. Target demographic: Child.,Consult a doctor if symptoms persist for more than 48 hours.
395,Insomnia,Mental Health,Severe,Male,"difficulty falling asleep, waking up frequently, daytime tiredness, fatigue, dehydration",Severe case of Insomnia. A sleep disorder characterized by persistent problems falling and staying asleep. Target demographic: Male.,Prescription medication might be required.
396,Cold Sore,Skin,Mild,General,"tingling,  blisters on lip",Mild case of Cold Sore. A group of fluid-filled blisters caused by the herpes simplex virus. Target demographic: General.,Home remedies can alleviate symptoms.
397,Carpal Tunnel,Musculoskeletal,Mild,Elderly,"numbness,  tingling",Mild case of Carpal Tunnel. Pressure on the median nerve causing numbness and tingling in the hand. Target demographic: Elderly.,Maintain good hygiene.
398,Fever,General,Chronic,Adult,"elevated body temperature, sweating, chills, headache","Chronic case of Fever. A temporary increase in body temperature, often due to an illness. Target demographic: Adult.",Consult a doctor if symptoms persist for more than 48 hours.
399,Common Cold,Respiratory,Mild,Elderly,"runny nose,  sore throat",Mild case of Common Cold. A viral infection of the upper respiratory tract. Target demographic: Elderly.,Over-the-counter medication may help.
400,Sinusitis,Respiratory,Moderate,Elderly,"facial pain, thick nasal discharge, headache, cough",Moderate case of Sinusitis. Inflammation or swelling of the tissue lining the sinuses. Target demographic: Elderly.,Over-the-counter medication may help.
401,Carpal Tunnel,Musculoskeletal,Chronic,General,"numbness, tingling, weakness in hand",Chronic case of Carpal Tunnel. Pressure on the median nerve causing numbness and tingling in the hand. Target demographic: General.,Over-the-counter medication may help.
402,Jock Itch,Skin,Mild,Elderly,"red,  itchy rash in the groin area","Mild case of Jock Itch. A fungal infection that causes a red, itchy rash in warm, moist areas of the body. Target demographic: Elderly.",Home remedies can alleviate symptoms.
403,Toothache,Dental,Acute,Child,"tooth pain, swelling around tooth, fever, drainage",Acute case of Toothache. Pain in or around a tooth caused by various dental problems. Target demographic: Child.,Rest and hydration recommended.
404,Asthma,Respiratory,Chronic,General,"wheezing, shortness of breath, chest tightness, coughing",Chronic case of Asthma. A condition in which airways narrow and swell and may produce extra mucus. Target demographic: General.,Prescription medication might be required.
405,Sunburn,Skin,Moderate,Child,"red skin, pain, swelling, blisters",Moderate case of Sunburn. Skin damage caused by ultraviolet (UV) rays from the sun. Target demographic: Child.,Avoid triggers like spicy food or allergens.
406,Insomnia,Mental Health,Chronic,General,"difficulty falling asleep, waking up frequently, daytime tiredness",Chronic case of Insomnia. A sleep disorder characterized by persistent problems falling and staying asleep. Target demographic: General.,Maintain good hygiene.
407,Cold Sore,Skin,Severe,General,"tingling, blisters on lip, pain, itching, fatigue, dehydration",Severe case of Cold Sore. A group of fluid-filled blisters caused by the herpes simplex virus. Target demographic: General.,Rest and hydration recommended.
408,Influenza B,Respiratory,Acute,Child,"fever, chills, muscle aches, cough, fatigue","Acute case of Influenza B. A specific strain of the flu virus, typically appearing in seasonal outbreaks. Target demographic: Child.",Seek immediate medical attention.
409,Viral Pharyngitis,Respiratory,Mild,Male,"sore throat,  scratchy throat","Mild case of Viral Pharyngitis. Inflammation of the pharynx, usually caused by a viral infection. Target demographic: Male.",Prescription medication might be required.
410,Common Cold,Respiratory,Moderate,Male,"runny nose, sore throat, coughing, sneezing",Moderate case of Common Cold. A viral infection of the upper respiratory tract. Target demographic: Male.,Seek immediate medical attention.
411,Toothache,Dental,Severe,General,"tooth pain, swelling around tooth, fever, drainage, fatigue, dehydration",Severe case of Toothache. Pain in or around a tooth caused by various dental problems. Target demographic: General.,Rest and hydration recommended.
412,Osteoarthritis,Musculoskeletal,Acute,Adult,"joint pain, stiffness, tenderness, loss of flexibility","Acute case of Osteoarthritis. The most common form of arthritis, caused by wear and tear of cartilage. Target demographic: Adult.",Consult a doctor if symptoms persist for more than 48 hours.
413,Indigestion,Digestive,Chronic,Male,"upper abdominal pain, bloating, belching, nausea",Chronic case of Indigestion. Discomfort in your upper abdomen often caused by eating too much or too fast. Target demographic: Male.,Monitor symptoms closely.
414,Tension Headache,Neurological,Chronic,Male,"dull head pain, pressure across forehead, scalp tenderness","Chronic case of Tension Headache. The most common type of headache, often stress-related. Target demographic: Male.",Prescription medication might be required.
